Viral protein,Human protein,Link,Supplementary,Reference,Useful information
E,STIP1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,SPG11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,GNA13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,B2M,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,LGR4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,JAGN1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp6,SLC19A2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,ZDHHC6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,UNC93B1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,MTPN,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,BET1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,FKBP8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,CCDC115,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,UBE2G2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,TMED2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,MFAP3L,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,ZNRF3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,LGALS3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,FKRP,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,MSN,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,PSEN2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,RAB34,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,CA12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,PRPS2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,GNPAT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
N,CTTN,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,MICA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,DERL3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
E,RAB34,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,RAB21,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp6,UBIAD1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,FADS2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,ATP8B1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,CKAP4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
N,HMGA1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,LMCD1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
N,ANGPT4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,SLC35F5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,PTRH2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,TSPAN14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf8,TGFB2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,HMGCS2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,SCAMP2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,VEZT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,ELOVL5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,LRRN2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,CHST14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
E,TTF1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,ABHD5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,ABCC10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,MGLL,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp1,ZNF148,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,STRA6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,PLP2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,STX12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,PLXND1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,NDFIP1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,ACVR1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,OPA3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
N,FAM50A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp6,RABL3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,LRIG3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,ZFPL1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,CD81,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,FAM20C,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
N,SSBP1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,GOLM1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp6,PIGS,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,DEGS1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,FUT8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp6,RAB32,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,SHC1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,CTSB,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
N,TRO,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf8,ST8SIA4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,GORASP2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,TAPT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,SNX27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,LMAN1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,SLC29A3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,C1QL1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp6,TMEM159,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,GALNT12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,GINM1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7a,TUT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,FXYD2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,SPNS1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,NETO2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,PPA1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,PSEN2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7a,PSAT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,ZDHHC9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,SLC16A6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,SYNGR3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,RAB31,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7a,TBC1D8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,TMED9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,GPR39,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,TMEM221,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp4,TCTN3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,AREG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,LRRC8A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,RNPEP,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,ERMP1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,PNPLA2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,XXYLT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,MPZL1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,S1PR3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,LRRC8D,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,MTFP1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp6,ATG9A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,TRPM4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf8,PDIA3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,KIAA0319,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,LDLR,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,IPO13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,ALDH1A2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,VAMP4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,ECE1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,CLDN12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,NCEH1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,SLC12A6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,PISD,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,PTPRF,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,KDELR1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,VPS11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,OCIAD2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,RNF19A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,B3GALT6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,STX7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,METTL7B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,ZMPSTE24,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,MYRF,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Nsp6,EVA1C,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
M,CDK5RAP3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
E,CAAP1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,CSGALNACT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,EPHA2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,TGOLN2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,AMIGO2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,CACNG6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,SCAMP1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,ADCY9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf3a,PGM1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,SLC25A52,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,STX6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,TMEM214,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,GALNT10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
Orf7b,PEX10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8102073/bin/mmc3.xlsx,,
